TeamId,TeamName,Alias,Division,Conference,ConferenceAbbr
291,Mankato State,NULL,N/A,Non-DI (NSIC),N/A (D-II)
292,Mars Hill,NULL,N/A,Non-DI (SAC),N/A (D-II)
293,Minnesota-Morris,NULL,N/A,Non-DI (UMAC),N/A (D-III)
294,Mississippi College,NULL,N/A,Non-DI (GSC),N/A (D-II)
295,Missouri Southern,NULL,N/A,Non-DI (MIAA),N/A (D-II)
296,Missouri-Rolla,NULL,N/A,Non-DI (GLVC),N/A (D-II)
297,Moorhead State,NULL,N/A,Non-DI (NSIC),N/A (D-II)
298,Nebraska-Omaha,NULL,N/A,Non-DI (Summit non-football),Summit
299,New Mexico Highlands,NULL,N/A,Non-DI (RMAC),N/A (D-II)
300,Newberry,NULL,N/A,Non-DI (SAC),N/A (D-II)
301,Northeastern,NULL,N/A,CAA (non-football),CAA
302,Northern Michigan,NULL,N/A,Non-DI (GLIAC),N/A (D-II)
303,Northwestern Oklahoma State,NULL,N/A,Non-DI (GAC),N/A (NAIA)
304,Ohio Wesleyan,NULL,N/A,Non-DI (NCAC),N/A (D-III)
305,Pacific,NULL,N/A,West Coast Conference (non-football),WCC
306,Parsons,NULL,N/A,Non-DI (historical),N/A
307,Parsons (Iowa),NULL,N/A,Non-DI (historical),N/A
308,Pensacola NAS,NULL,N/A,Non-DI (historical),N/A
309,Quantico Marines,NULL,N/A,Non-DI (historical),N/A
310,Saint Mary's (CA),NULL,N/A,West Coast Conference (non-football),WCC
311,San Francisco State,NULL,N/A,Non-DI (CCAA),N/A (D-II)
312,Santa Clara,NULL,N/A,West Coast Conference (non-football),WCC
313,Savannah State,NULL,N/A,Non-DI (historical),N/A (D-II)
314,Sonoma State,NULL,N/A,Non-DI (CCAA),N/A (D-II)
315,St. Cloud State,NULL,N/A,Non-DI (NSIC),N/A (D-II)
316,St. Joseph's (Pennsylvania),NULL,N/A,Atlantic 10 Conference (non-football),A-10
317,Tampa,NULL,N/A,Non-DI (SSC),N/A (D-II)
318,Texas A&M-Commerce,NULL,N/A,Non-DI (Lone Star),N/A (D-II)
319,Texas A&M-Kingsville,NULL,N/A,Non-DI (Lone Star),N/A (D-II)
320,Texas Lutheran,NULL,N/A,Non-DI (SCAC),N/A (D-III)
321,Texas-Arlington,NULL,N/A,Western Athletic Conference (non-football),WAC
322,Trinity (Texas),NULL,N/A,Non-DI (SCAC),N/A (D-III)
323,Truman State,NULL,N/A,Non-DI (GLVC),N/A (D-II)
324,Tufts,NULL,N/A,Non-DI (NESCAC),N/A (D-III)
325,Tuskegee,NULL,N/A,Non-DI (SIAC),N/A (D-II)
326,U.S. International,NULL,N/A,Non-DI (historical),N/A
327,Valdosta State,NULL,N/A,Non-DI (GSC),N/A (D-II)
328,Virginia Union,NULL,N/A,Non-DI (CIAA),N/A (D-II)
329,Wayne State,NULL,N/A,Non-DI (GLIAC),N/A (D-II)
330,West Chester,NULL,N/A,Non-DI (PSAC),N/A (D-II)
331,West Texas State,NULL,N/A,Non-DI (historical),N/A (D-II)
332,West Virginia Tech,NULL,N/A,Non-DI (historical),N/A
333,Western New Mexico,NULL,N/A,Non-DI (Lone Star),N/A (D-II)
334,Whittier,NULL,N/A,Non-DI (SCIAC),N/A (D-III)
335,Wichita State,NULL,N/A,American Athletic Conference (non-football),AAC
336,Wisconsin-Milwaukee,NULL,N/A,Horizon League (non-football),Horizon
337,Wittenberg,NULL,N/A,Non-DI (NCAC),N/A (D-III)
338,Xavier,NULL,N/A,Big East Conference (non-football),Big East
