TeamID,TeamName,Alias,Division,Conference,ConferenceAbbr,ShortName
321,"Texas-Arlington",NULL,"N/A","Western Athletic Conference (non-football)","WAC","UT Arlington"
322,"Trinity (Texas)",NULL,"N/A","Non-DI (SCAC)","N/A (D-III)","Trinity TX"
323,"Truman State",NULL,"N/A","Non-DI (GLVC)","N/A (D-II)","Truman St"
324,"Tufts",NULL,"N/A","Non-DI (NESCAC)","N/A (D-III)","Tufts"
325,"Tuskegee",NULL,"N/A","Non-DI (SIAC)","N/A (D-II)","Tuskegee"
326,"U.S. International",NULL,"N/A","Non-DI (historical)","N/A","US Intl"
327,"Valdosta State",NULL,"N/A","Non-DI (GSC)","N/A (D-II)","Valdosta St"
328,"Virginia Union",NULL,"N/A","Non-DI (CIAA)","N/A (D-II)","Va Union"
329,"Wayne State",NULL,"N/A","Non-DI (GLIAC)","N/A (D-II)","Wayne State"
330,"West Chester",NULL,"N/A","Non-DI (PSAC)","N/A (D-II)","W Chester"
331,"West Texas State",NULL,"N/A","Non-DI (historical)","N/A (D-II)","W Texas St"
332,"West Virginia Tech",NULL,"N/A","Non-DI (historical)","N/A","WVU Tech"
333,"Western New Mexico",NULL,"N/A","Non-DI (Lone Star)","N/A (D-II)","W New Mex"
334,"Whittier",NULL,"N/A","Non-DI (SCIAC)","N/A (D-III)","Whittier"
335,"Wichita State",NULL,"N/A","American Athletic Conference (non-football)","AAC","Wichita St"
336,"Wisconsin-Milwaukee",NULL,"N/A","Horizon League (non-football)","Horizon","UW-Milwauke"
337,"Wittenberg",NULL,"N/A","Non-DI (NCAC)","N/A (D-III)","Wittenberg"
338,"Xavier",NULL,"N/A","Big East Conference (non-football)","Big East","Xavier"
339,"East Texas A&M",NULL,"FCS","Southland Conference","Southland","E Texas AM"
